Relatedness	Contradiction	Coherence	Value
Strongly disagree	Strongly agree	Disagree	Strongly disagree
Disagree	Neutral	Disagree	Disagree
Agree	Agree	Disagree	Disagree
Neutral	Disagree	Neutral	Neutral
Disagree	Agree	Disagree	Disagree
Disagree	Neutral	Disagree	Neutral
Neutral	Strongly agree	Neutral	Strongly disagree
Neutral	Agree	Neutral	Agree
Disagree	Neutral	Disagree	Disagree
Neutral	Agree	Agree	Neutral
Strongly disagree	Strongly agree	Disagree	Disagree
Agree	Neutral	Agree	Agree
Agree	Disagree	Disagree	Agree
Agree	Neutral	Agree	Agree
Neutral	Agree	Disagree	Disagree
Agree	Disagree	Strongly agree	Strongly agree
Disagree	Neutral	Disagree	Disagree
Strongly agree	Agree	Strongly agree	Strongly agree
Disagree	Strongly agree	Disagree	Disagree
Agree	Neutral	Neutral	Agree
Agree	Neutral	Agree	Agree
Disagree	Strongly agree	Neutral	Neutral
Agree	Strongly disagree	Disagree	Disagree
Agree	Disagree	Agree	Neutral
Agree	Disagree	Neutral	Neutral
Agree	Disagree	Strongly agree	Strongly agree
Strongly agree	Disagree	Strongly agree	Strongly agree
Agree	Disagree	Agree	Agree
Agree	Neutral	Neutral	Neutral
Disagree	Neutral	Strongly disagree	Strongly disagree
Agree	Disagree	Agree	Neutral
Agree	Disagree	Agree	Agree
Strongly agree	Strongly disagree	Disagree	Agree
Neutral	Neutral	Neutral	Neutral
Agree	Strongly agree	Disagree	Disagree
Strongly agree	Strongly disagree	Strongly agree	Strongly disagree
Agree	Agree	Agree	Neutral
Strongly agree	Strongly disagree	Disagree	Strongly agree
Agree	Agree	Agree	Disagree
Strongly agree	Strongly disagree	Disagree	Agree
Disagree	Agree	Disagree	Disagree
Agree	Neutral	Disagree	Agree
Neutral	Agree	Disagree	Disagree
Agree	Disagree	Disagree	Neutral
Agree	Disagree	Disagree	Disagree
Disagree	Neutral	Disagree	Disagree
Agree	Disagree	Disagree	Disagree
Agree	Neutral	Disagree	Strongly disagree
Strongly agree	Neutral	Strongly disagree	Strongly agree
Agree	Neutral	Agree	Agree
Strongly agree	Neutral	Strongly agree	Disagree
Neutral	Strongly agree	Disagree	Neutral
Agree	Disagree	Agree	Agree
Neutral	Agree	Strongly disagree	Neutral
Agree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Neutral	Agree	Agree
Strongly agree	Disagree	Strongly disagree	Disagree
Agree	Strongly agree	Disagree	Neutral
Agree	Strongly agree	Agree	Neutral
Agree	Agree	Strongly disagree	Agree
Agree	Agree	Strongly disagree	Disagree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Disagree	Agree	Disagree	Disagree
Agree	Strongly agree	Neutral	Disagree
Strongly agree	Disagree	Agree	Agree
Agree	Agree	Neutral	Agree
Strongly agree	Disagree	Agree	Agree
Strongly agree	Disagree	Agree	Agree
Strongly agree	Disagree	Agree	Agree
Agree	Agree	Disagree	Neutral
Strongly agree	Disagree	Disagree	Strongly agree
Neutral	Disagree	Neutral	Neutral
Strongly agree	Neutral	Neutral	Agree
Strongly disagree	Agree	Strongly disagree	Strongly disagree
Disagree	Neutral	Disagree	Disagree
Agree	Disagree	Neutral	Neutral
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Neutral	Neutral	Neutral
Agree	Disagree	Disagree	Disagree
Agree	Disagree	Neutral	Disagree
Agree	Strongly agree	Disagree	Neutral
Disagree	Neutral	Disagree	Disagree
Disagree	Agree	Disagree	Disagree
Neutral	Strongly agree	Strongly disagree	Strongly disagree
Agree	Neutral	Agree	Agree
Disagree	Strongly agree	Disagree	Disagree
Disagree	Strongly agree	Strongly disagree	Strongly disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Disagree	Neutral	Strongly disagree
Agree	Disagree	Agree	Neutral
Neutral	Agree	Disagree	Neutral
Strongly disagree	Agree	Strongly disagree	Strongly disagree
Agree	Neutral	Neutral	Neutral
Neutral	Neutral	Neutral	Neutral
Neutral	Strongly agree	Disagree	Strongly disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Disagree	Neutral	Neutral
Disagree	Agree	Disagree	Disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Neutral	Disagree	Disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Strongly agree	Disagree	Disagree
Agree	Strongly agree	Disagree	Neutral
Disagree	Neutral	Disagree	Disagree
Neutral	Agree	Disagree	Disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Agree	Strongly agree	Strongly disagree	Disagree
Disagree	Agree	Disagree	Disagree
Strongly disagree	Strongly agree	Strongly disagree	Strongly disagree
Strongly agree	Strongly disagree	Strongly agree	Strongly agree
Agree	Disagree	Agree	Agree
Disagree	Strongly agree	Strongly disagree	Disagree
Disagree	Agree	Disagree	Disagree
Strongly agree	Disagree	Neutral	Agree
Neutral	Neutral	Neutral	Neutral
Agree	Strongly agree	Strongly agree	Strongly disagree
